"name","year","qtd"
"3. to review","2016-1-1","0"
"3. to review","2016-2-1","0"
"3. to review","2016-3-1","0"
"3. to review","2016-4-1","0"
"3. to review","2016-5-1","0"
"3. to review","2016-6-1","114"
"3. to review","2016-7-1","199"
"3. to review","2016-8-1","291"
"3. to review","2016-9-1","195"
"3. to review","2016-10-1","201"
"3. to review","2016-11-1","248"
"3. to review","2016-12-1","231"
"3. to review","2017-1-1","178"
"3. to review","2017-2-1","167"
"3. to review","2017-3-1","255"
"3. to review","2017-4-1","236"
"3. to review","2017-5-1","242"
"3. to review","2017-6-1","178"
"3. to review","2017-7-1","209"
"3. to review","2017-8-1","200"
"3. to review","2017-9-1","202"
"3. to review","2017-10-1","173"
"3. to review","2017-11-1","207"
"3. to review","2017-12-1","141"
"3. to review","2018-1-1","264"
"3. to review","2018-2-1","217"
"3. to review","2018-3-1","234"
"3. to review","2018-4-1","178"
"3. to review","2018-5-1","199"
"3. to review","2018-6-1","178"
"3. to review","2018-7-1","168"
"3. to review","2018-8-1","197"
"3. to review","2018-9-1","217"
"3. to review","2018-10-1","300"
"3. to review","2018-11-1","260"
"3. to review","2018-12-1","206"
"3. to review","2019-1-1","273"
"3. to review","2019-2-1","201"
"3. to review","2019-3-1","160"
"3. to review","2019-4-1","126"
"3. to review","2019-5-1","150"
"3. to review","2019-6-1","115"
"3. to review","2019-7-1","141"
"3. to review","2019-8-1","54"
"3. to review","2019-9-1","0"
"3. to review","2019-10-1","0"
"3. to review","2019-11-1","0"
"3. to review","2019-12-1","0"
"feature: dependencies","2016-1-1","0"
"feature: dependencies","2016-2-1","0"
"feature: dependencies","2016-3-1","0"
"feature: dependencies","2016-4-1","0"
"feature: dependencies","2016-5-1","0"
"feature: dependencies","2016-6-1","0"
"feature: dependencies","2016-7-1","0"
"feature: dependencies","2016-8-1","0"
"feature: dependencies","2016-9-1","1"
"feature: dependencies","2016-10-1","1"
"feature: dependencies","2016-11-1","1"
"feature: dependencies","2016-12-1","0"
"feature: dependencies","2017-1-1","0"
"feature: dependencies","2017-2-1","0"
"feature: dependencies","2017-3-1","0"
"feature: dependencies","2017-4-1","0"
"feature: dependencies","2017-5-1","1"
"feature: dependencies","2017-6-1","1"
"feature: dependencies","2017-7-1","1"
"feature: dependencies","2017-8-1","0"
"feature: dependencies","2017-9-1","0"
"feature: dependencies","2017-10-1","0"
"feature: dependencies","2017-11-1","0"
"feature: dependencies","2017-12-1","0"
"feature: dependencies","2018-1-1","0"
"feature: dependencies","2018-2-1","0"
"feature: dependencies","2018-3-1","0"
"feature: dependencies","2018-4-1","0"
"feature: dependencies","2018-5-1","17"
"feature: dependencies","2018-6-1","43"
"feature: dependencies","2018-7-1","29"
"feature: dependencies","2018-8-1","2"
"feature: dependencies","2018-9-1","75"
"feature: dependencies","2018-10-1","34"
"feature: dependencies","2018-11-1","31"
"feature: dependencies","2018-12-1","99"
"feature: dependencies","2019-1-1","107"
"feature: dependencies","2019-2-1","65"
"feature: dependencies","2019-3-1","6"
"feature: dependencies","2019-4-1","38"
"feature: dependencies","2019-5-1","52"
"feature: dependencies","2019-6-1","26"
"feature: dependencies","2019-7-1","56"
"feature: dependencies","2019-8-1","4"
"feature: dependencies","2019-9-1","0"
"feature: dependencies","2019-10-1","0"
"feature: dependencies","2019-11-1","0"
"feature: dependencies","2019-12-1","0"
"javascript","2016-1-1","0"
"javascript","2016-2-1","0"
"javascript","2016-3-1","0"
"javascript","2016-4-1","0"
"javascript","2016-5-1","0"
"javascript","2016-6-1","0"
"javascript","2016-7-1","0"
"javascript","2016-8-1","0"
"javascript","2016-9-1","0"
"javascript","2016-10-1","0"
"javascript","2016-11-1","0"
"javascript","2016-12-1","0"
"javascript","2017-1-1","0"
"javascript","2017-2-1","0"
"javascript","2017-3-1","0"
"javascript","2017-4-1","0"
"javascript","2017-5-1","0"
"javascript","2017-6-1","0"
"javascript","2017-7-1","0"
"javascript","2017-8-1","0"
"javascript","2017-9-1","0"
"javascript","2017-10-1","0"
"javascript","2017-11-1","0"
"javascript","2017-12-1","0"
"javascript","2018-1-1","0"
"javascript","2018-2-1","0"
"javascript","2018-3-1","0"
"javascript","2018-4-1","0"
"javascript","2018-5-1","0"
"javascript","2018-6-1","0"
"javascript","2018-7-1","0"
"javascript","2018-8-1","0"
"javascript","2018-9-1","10"
"javascript","2018-10-1","3"
"javascript","2018-11-1","0"
"javascript","2018-12-1","6"
"javascript","2019-1-1","54"
"javascript","2019-2-1","58"
"javascript","2019-3-1","14"
"javascript","2019-4-1","38"
"javascript","2019-5-1","51"
"javascript","2019-6-1","38"
"javascript","2019-7-1","59"
"javascript","2019-8-1","12"
"javascript","2019-9-1","0"
"javascript","2019-10-1","0"
"javascript","2019-11-1","0"
"javascript","2019-12-1","0"
"security","2016-1-1","0"
"security","2016-2-1","0"
"security","2016-3-1","0"
"security","2016-4-1","0"
"security","2016-5-1","0"
"security","2016-6-1","0"
"security","2016-7-1","5"
"security","2016-8-1","7"
"security","2016-9-1","12"
"security","2016-10-1","14"
"security","2016-11-1","18"
"security","2016-12-1","18"
"security","2017-1-1","50"
"security","2017-2-1","40"
"security","2017-3-1","52"
"security","2017-4-1","44"
"security","2017-5-1","44"
"security","2017-6-1","42"
"security","2017-7-1","44"
"security","2017-8-1","48"
"security","2017-9-1","43"
"security","2017-10-1","42"
"security","2017-11-1","46"
"security","2017-12-1","46"
"security","2018-1-1","44"
"security","2018-2-1","41"
"security","2018-3-1","41"
"security","2018-4-1","44"
"security","2018-5-1","44"
"security","2018-6-1","47"
"security","2018-7-1","41"
"security","2018-8-1","42"
"security","2018-9-1","47"
"security","2018-10-1","48"
"security","2018-11-1","37"
"security","2018-12-1","39"
"security","2019-1-1","38"
"security","2019-2-1","47"
"security","2019-3-1","29"
"security","2019-4-1","31"
"security","2019-5-1","49"
"security","2019-6-1","40"
"security","2019-7-1","61"
"security","2019-8-1","32"
"security","2019-9-1","0"
"security","2019-10-1","0"
"security","2019-11-1","0"
"security","2019-12-1","0"
"0. Needs triage","2016-1-1","0"
"0. Needs triage","2016-2-1","0"
"0. Needs triage","2016-3-1","0"
"0. Needs triage","2016-4-1","0"
"0. Needs triage","2016-5-1","0"
"0. Needs triage","2016-6-1","7"
"0. Needs triage","2016-7-1","14"
"0. Needs triage","2016-8-1","22"
"0. Needs triage","2016-9-1","31"
"0. Needs triage","2016-10-1","34"
"0. Needs triage","2016-11-1","43"
"0. Needs triage","2016-12-1","66"
"0. Needs triage","2017-1-1","168"
"0. Needs triage","2017-2-1","185"
"0. Needs triage","2017-3-1","221"
"0. Needs triage","2017-4-1","237"
"0. Needs triage","2017-5-1","263"
"0. Needs triage","2017-6-1","268"
"0. Needs triage","2017-7-1","288"
"0. Needs triage","2017-8-1","299"
"0. Needs triage","2017-9-1","277"
"0. Needs triage","2017-10-1","269"
"0. Needs triage","2017-11-1","293"
"0. Needs triage","2017-12-1","308"
"0. Needs triage","2018-1-1","412"
"0. Needs triage","2018-2-1","424"
"0. Needs triage","2018-3-1","438"
"0. Needs triage","2018-4-1","443"
"0. Needs triage","2018-5-1","447"
"0. Needs triage","2018-6-1","469"
"0. Needs triage","2018-7-1","472"
"0. Needs triage","2018-8-1","495"
"0. Needs triage","2018-9-1","414"
"0. Needs triage","2018-10-1","487"
"0. Needs triage","2018-11-1","542"
"0. Needs triage","2018-12-1","695"
"0. Needs triage","2019-1-1","654"
"0. Needs triage","2019-2-1","727"
"0. Needs triage","2019-3-1","839"
"0. Needs triage","2019-4-1","898"
"0. Needs triage","2019-5-1","1021"
"0. Needs triage","2019-6-1","1062"
"0. Needs triage","2019-7-1","1103"
"0. Needs triage","2019-8-1","989"
"0. Needs triage","2019-9-1","0"
"0. Needs triage","2019-10-1","0"
"0. Needs triage","2019-11-1","0"
"0. Needs triage","2019-12-1","0"
"enhancement","2016-1-1","0"
"enhancement","2016-2-1","0"
"enhancement","2016-3-1","0"
"enhancement","2016-4-1","0"
"enhancement","2016-5-1","0"
"enhancement","2016-6-1","70"
"enhancement","2016-7-1","142"
"enhancement","2016-8-1","198"
"enhancement","2016-9-1","239"
"enhancement","2016-10-1","296"
"enhancement","2016-11-1","290"
"enhancement","2016-12-1","311"
"enhancement","2017-1-1","607"
"enhancement","2017-2-1","612"
"enhancement","2017-3-1","705"
"enhancement","2017-4-1","696"
"enhancement","2017-5-1","679"
"enhancement","2017-6-1","694"
"enhancement","2017-7-1","731"
"enhancement","2017-8-1","737"
"enhancement","2017-9-1","647"
"enhancement","2017-10-1","655"
"enhancement","2017-11-1","672"
"enhancement","2017-12-1","662"
"enhancement","2018-1-1","719"
"enhancement","2018-2-1","698"
"enhancement","2018-3-1","730"
"enhancement","2018-4-1","734"
"enhancement","2018-5-1","753"
"enhancement","2018-6-1","744"
"enhancement","2018-7-1","715"
"enhancement","2018-8-1","717"
"enhancement","2018-9-1","593"
"enhancement","2018-10-1","678"
"enhancement","2018-11-1","649"
"enhancement","2018-12-1","660"
"enhancement","2019-1-1","492"
"enhancement","2019-2-1","504"
"enhancement","2019-3-1","509"
"enhancement","2019-4-1","505"
"enhancement","2019-5-1","555"
"enhancement","2019-6-1","577"
"enhancement","2019-7-1","587"
"enhancement","2019-8-1","532"
"enhancement","2019-9-1","0"
"enhancement","2019-10-1","0"
"enhancement","2019-11-1","0"
"enhancement","2019-12-1","0"
"technical debt","2016-1-1","0"
"technical debt","2016-2-1","0"
"technical debt","2016-3-1","0"
"technical debt","2016-4-1","0"
"technical debt","2016-5-1","0"
"technical debt","2016-6-1","0"
"technical debt","2016-7-1","1"
"technical debt","2016-8-1","1"
"technical debt","2016-9-1","1"
"technical debt","2016-10-1","2"
"technical debt","2016-11-1","2"
"technical debt","2016-12-1","5"
"technical debt","2017-1-1","13"
"technical debt","2017-2-1","11"
"technical debt","2017-3-1","18"
"technical debt","2017-4-1","31"
"technical debt","2017-5-1","32"
"technical debt","2017-6-1","25"
"technical debt","2017-7-1","49"
"technical debt","2017-8-1","50"
"technical debt","2017-9-1","38"
"technical debt","2017-10-1","47"
"technical debt","2017-11-1","41"
"technical debt","2017-12-1","41"
"technical debt","2018-1-1","93"
"technical debt","2018-2-1","66"
"technical debt","2018-3-1","92"
"technical debt","2018-4-1","54"
"technical debt","2018-5-1","66"
"technical debt","2018-6-1","55"
"technical debt","2018-7-1","52"
"technical debt","2018-8-1","57"
"technical debt","2018-9-1","47"
"technical debt","2018-10-1","78"
