"name","year","qtd"
"0. Needs triage","2016-1-1","0"
"0. Needs triage","2016-2-1","0"
"0. Needs triage","2016-3-1","0"
"0. Needs triage","2016-4-1","0"
"0. Needs triage","2016-5-1","0"
"0. Needs triage","2016-6-1","6"
"0. Needs triage","2016-7-1","11"
"0. Needs triage","2016-8-1","18"
"0. Needs triage","2016-9-1","19"
"0. Needs triage","2016-10-1","17"
"0. Needs triage","2016-11-1","20"
"0. Needs triage","2016-12-1","35"
"0. Needs triage","2017-1-1","61"
"0. Needs triage","2017-2-1","64"
"0. Needs triage","2017-3-1","90"
"0. Needs triage","2017-4-1","102"
"0. Needs triage","2017-5-1","118"
"0. Needs triage","2017-6-1","108"
"0. Needs triage","2017-7-1","125"
"0. Needs triage","2017-8-1","129"
"0. Needs triage","2017-9-1","125"
"0. Needs triage","2017-10-1","105"
"0. Needs triage","2017-11-1","118"
"0. Needs triage","2017-12-1","128"
"0. Needs triage","2018-1-1","170"
"0. Needs triage","2018-2-1","172"
"0. Needs triage","2018-3-1","177"
"0. Needs triage","2018-4-1","179"
"0. Needs triage","2018-5-1","175"
"0. Needs triage","2018-6-1","143"
"0. Needs triage","2018-7-1","143"
"0. Needs triage","2018-8-1","136"
"0. Needs triage","2018-9-1","133"
"0. Needs triage","2018-10-1","142"
"0. Needs triage","2018-11-1","146"
"0. Needs triage","2018-12-1","289"
"0. Needs triage","2019-1-1","363"
"0. Needs triage","2019-2-1","429"
"0. Needs triage","2019-3-1","545"
"0. Needs triage","2019-4-1","605"
"0. Needs triage","2019-5-1","540"
"0. Needs triage","2019-6-1","0"
"0. Needs triage","2019-7-1","0"
"0. Needs triage","2019-8-1","0"
"0. Needs triage","2019-9-1","0"
"0. Needs triage","2019-10-1","0"
"0. Needs triage","2019-11-1","0"
"0. Needs triage","2019-12-1","0"
"bug","2016-1-1","0"
"bug","2016-2-1","0"
"bug","2016-3-1","0"
"bug","2016-4-1","0"
"bug","2016-5-1","0"
"bug","2016-6-1","70"
"bug","2016-7-1","115"
"bug","2016-8-1","189"
"bug","2016-9-1","191"
"bug","2016-10-1","220"
"bug","2016-11-1","332"
"bug","2016-12-1","330"
"bug","2017-1-1","460"
"bug","2017-2-1","469"
"bug","2017-3-1","505"
"bug","2017-4-1","529"
"bug","2017-5-1","596"
"bug","2017-6-1","534"
"bug","2017-7-1","536"
"bug","2017-8-1","575"
"bug","2017-9-1","616"
"bug","2017-10-1","581"
"bug","2017-11-1","623"
"bug","2017-12-1","636"
"bug","2018-1-1","822"
"bug","2018-2-1","777"
"bug","2018-3-1","804"
"bug","2018-4-1","786"
"bug","2018-5-1","777"
"bug","2018-6-1","584"
"bug","2018-7-1","683"
"bug","2018-8-1","779"
"bug","2018-9-1","823"
"bug","2018-10-1","1008"
"bug","2018-11-1","1000"
"bug","2018-12-1","993"
"bug","2019-1-1","896"
"bug","2019-2-1","894"
"bug","2019-3-1","988"
"bug","2019-4-1","957"
"bug","2019-5-1","811"
"bug","2019-6-1","0"
"bug","2019-7-1","0"
"bug","2019-8-1","0"
"bug","2019-9-1","0"
"bug","2019-10-1","0"
"bug","2019-11-1","0"
"bug","2019-12-1","0"
"16-feedback","2016-1-1","0"
"16-feedback","2016-2-1","0"
"16-feedback","2016-3-1","0"
"16-feedback","2016-4-1","0"
"16-feedback","2016-5-1","0"
"16-feedback","2016-6-1","0"
"16-feedback","2016-7-1","0"
"16-feedback","2016-8-1","0"
"16-feedback","2016-9-1","0"
"16-feedback","2016-10-1","0"
"16-feedback","2016-11-1","0"
"16-feedback","2016-12-1","0"
"16-feedback","2017-1-1","0"
"16-feedback","2017-2-1","0"
"16-feedback","2017-3-1","0"
"16-feedback","2017-4-1","0"
"16-feedback","2017-5-1","0"
"16-feedback","2017-6-1","0"
"16-feedback","2017-7-1","0"
"16-feedback","2017-8-1","0"
"16-feedback","2017-9-1","0"
"16-feedback","2017-10-1","0"
"16-feedback","2017-11-1","0"
"16-feedback","2017-12-1","0"
"16-feedback","2018-1-1","0"
"16-feedback","2018-2-1","0"
"16-feedback","2018-3-1","0"
"16-feedback","2018-4-1","0"
"16-feedback","2018-5-1","0"
"16-feedback","2018-6-1","0"
"16-feedback","2018-7-1","0"
"16-feedback","2018-8-1","0"
"16-feedback","2018-9-1","0"
"16-feedback","2018-10-1","0"
"16-feedback","2018-11-1","0"
"16-feedback","2018-12-1","0"
"16-feedback","2019-1-1","0"
"16-feedback","2019-2-1","0"
"16-feedback","2019-3-1","14"
"16-feedback","2019-4-1","26"
"16-feedback","2019-5-1","17"
"16-feedback","2019-6-1","0"
"16-feedback","2019-7-1","0"
"16-feedback","2019-8-1","0"
"16-feedback","2019-9-1","0"
"16-feedback","2019-10-1","0"
"16-feedback","2019-11-1","0"
"16-feedback","2019-12-1","0"
"4. to release","2016-1-1","0"
"4. to release","2016-2-1","0"
"4. to release","2016-3-1","0"
"4. to release","2016-4-1","0"
"4. to release","2016-5-1","0"
"4. to release","2016-6-1","7"
"4. to release","2016-7-1","42"
"4. to release","2016-8-1","73"
"4. to release","2016-9-1","51"
"4. to release","2016-10-1","75"
"4. to release","2016-11-1","60"
"4. to release","2016-12-1","43"
"4. to release","2017-1-1","48"
"4. to release","2017-2-1","16"
"4. to release","2017-3-1","54"
"4. to release","2017-4-1","59"
"4. to release","2017-5-1","43"
"4. to release","2017-6-1","47"
"4. to release","2017-7-1","55"
"4. to release","2017-8-1","49"
"4. to release","2017-9-1","53"
"4. to release","2017-10-1","32"
"4. to release","2017-11-1","36"
"4. to release","2017-12-1","41"
"4. to release","2018-1-1","80"
"4. to release","2018-2-1","41"
"4. to release","2018-3-1","53"
"4. to release","2018-4-1","44"
"4. to release","2018-5-1","58"
"4. to release","2018-6-1","70"
"4. to release","2018-7-1","77"
"4. to release","2018-8-1","53"
"4. to release","2018-9-1","62"
"4. to release","2018-10-1","134"
"4. to release","2018-11-1","113"
"4. to release","2018-12-1","118"
"4. to release","2019-1-1","157"
"4. to release","2019-2-1","86"
"4. to release","2019-3-1","105"
"4. to release","2019-4-1","76"
"4. to release","2019-5-1","10"
"4. to release","2019-6-1","0"
"4. to release","2019-7-1","0"
"4. to release","2019-8-1","0"
"4. to release","2019-9-1","0"
"4. to release","2019-10-1","0"
"4. to release","2019-11-1","0"
"4. to release","2019-12-1","0"
"high","2016-1-1","0"
"high","2016-2-1","0"
"high","2016-3-1","0"
"high","2016-4-1","0"
"high","2016-5-1","0"
"high","2016-6-1","10"
"high","2016-7-1","15"
"high","2016-8-1","38"
"high","2016-9-1","18"
"high","2016-10-1","21"
"high","2016-11-1","44"
"high","2016-12-1","36"
"high","2017-1-1","51"
"high","2017-2-1","57"
"high","2017-3-1","48"
"high","2017-4-1","59"
"high","2017-5-1","89"
"high","2017-6-1","54"
"high","2017-7-1","55"
"high","2017-8-1","48"
"high","2017-9-1","51"
"high","2017-10-1","48"
"high","2017-11-1","51"
"high","2017-12-1","54"
"high","2018-1-1","48"
"high","2018-2-1","35"
"high","2018-3-1","38"
"high","2018-4-1","42"
"high","2018-5-1","40"
"high","2018-6-1","33"
"high","2018-7-1","39"
"high","2018-8-1","42"
"high","2018-9-1","37"
"high","2018-10-1","51"
"high","2018-11-1","58"
"high","2018-12-1","38"
"high","2019-1-1","20"
"high","2019-2-1","18"
"high","2019-3-1","23"
"high","2019-4-1","19"
"high","2019-5-1","16"
"high","2019-6-1","0"
"high","2019-7-1","0"
"high","2019-8-1","0"
"high","2019-9-1","0"
"high","2019-10-1","0"
"high","2019-11-1","0"
"high","2019-12-1","0"
"overview","2016-1-1","0"
"overview","2016-2-1","0"
"overview","2016-3-1","0"
"overview","2016-4-1","0"
"overview","2016-5-1","0"
"overview","2016-6-1","0"
"overview","2016-7-1","0"
"overview","2016-8-1","1"
"overview","2016-9-1","3"
"overview","2016-10-1","4"
"overview","2016-11-1","6"
"overview","2016-12-1","7"
"overview","2017-1-1","12"
"overview","2017-2-1","13"
"overview","2017-3-1","13"
"overview","2017-4-1","14"
"overview","2017-5-1","15"
"overview","2017-6-1","10"
"overview","2017-7-1","10"
"overview","2017-8-1","11"
"overview","2017-9-1","12"
"overview","2017-10-1","13"
"overview","2017-11-1","12"
"overview","2017-12-1","11"
"overview","2018-1-1","12"
"overview","2018-2-1","11"
"overview","2018-3-1","11"
"overview","2018-4-1","11"
"overview","2018-5-1","11"
"overview","2018-6-1","7"
"overview","2018-7-1","10"
"overview","2018-8-1","14"
"overview","2018-9-1","10"
"overview","2018-10-1","11"
"overview","2018-11-1","12"
"overview","2018-12-1","16"
"overview","2019-1-1","11"
"overview","2019-2-1","12"
"overview","2019-3-1","11"
"overview","2019-4-1","10"
"overview","2019-5-1","9"
"overview","2019-6-1","0"
"overview","2019-7-1","0"
"overview","2019-8-1","0"
"overview","2019-9-1","0"
"overview","2019-10-1","0"
"overview","2019-11-1","0"
"overview","2019-12-1","0"
"technical debt","2016-1-1","0"
"technical debt","2016-2-1","0"
"technical debt","2016-3-1","0"
"technical debt","2016-4-1","0"
"technical debt","2016-5-1","0"
"technical debt","2016-6-1","0"
"technical debt","2016-7-1","1"
"technical debt","2016-8-1","1"
"technical debt","2016-9-1","1"
"technical debt","2016-10-1","2"
"technical debt","2016-11-1","2"
"technical debt","2016-12-1","5"
"technical debt","2017-1-1","13"
"technical debt","2017-2-1","11"
"technical debt","2017-3-1","18"
"technical debt","2017-4-1","31"
"technical debt","2017-5-1","32"
"technical debt","2017-6-1","23"
"technical debt","2017-7-1","47"
"technical debt","2017-8-1","48"
"technical debt","2017-9-1","38"
"technical debt","2017-10-1","47"
"technical debt","2017-11-1","41"
"technical debt","2017-12-1","41"
"technical debt","2018-1-1","93"
"technical debt","2018-2-1","66"
"technical debt","2018-3-1","92"
"technical debt","2018-4-1","54"
"technical debt","2018-5-1","66"
"technical debt","2018-6-1","41"
"technical debt","2018-7-1","39"
"technical debt","2018-8-1","44"
"technical debt","2018-9-1","47"
"technical debt","2018-10-1","78"
"technical debt","2018-11-1","53"
"technical debt","2018-12-1","65"
"technical debt","2019-1-1","69"
"technical debt","2019-2-1","46"
"technical debt","2019-3-1","46"
"technical debt","2019-4-1","50"
"technical debt","2019-5-1","44"
"technical debt","2019-6-1","0"
"technical debt","2019-7-1","0"
"technical debt","2019-8-1","0"
"technical debt","2019-9-1","0"
"technical debt","2019-10-1","0"
"technical debt","2019-11-1","0"
"technical debt","2019-12-1","0"
"feature: dependencies","2016-1-1","0"
"feature: dependencies","2016-2-1","0"
"feature: dependencies","2016-3-1","0"
"feature: dependencies","2016-4-1","0"
"feature: dependencies","2016-5-1","0"
"feature: dependencies","2016-6-1","0"
"feature: dependencies","2016-7-1","0"
"feature: dependencies","2016-8-1","0"
"feature: dependencies","2016-9-1","1"
"feature: dependencies","2016-10-1","1"
"feature: dependencies","2016-11-1","1"
"feature: dependencies","2016-12-1","0"
"feature: dependencies","2017-1-1","0"
"feature: dependencies","2017-2-1","0"
"feature: dependencies","2017-3-1","0"
"feature: dependencies","2017-4-1","0"
"feature: dependencies","2017-5-1","1"
"feature: dependencies","2017-6-1","1"
"feature: dependencies","2017-7-1","1"
"feature: dependencies","2017-8-1","0"
"feature: dependencies","2017-9-1","0"
"feature: dependencies","2017-10-1","0"
"feature: dependencies","2017-11-1","0"
"feature: dependencies","2017-12-1","0"
"feature: dependencies","2018-1-1","0"
"feature: dependencies","2018-2-1","0"
"feature: dependencies","2018-3-1","0"
"feature: dependencies","2018-4-1","0"
"feature: dependencies","2018-5-1","17"
"feature: dependencies","2018-6-1","43"
"feature: dependencies","2018-7-1","29"
"feature: dependencies","2018-8-1","2"
"feature: dependencies","2018-9-1","75"
"feature: dependencies","2018-10-1","34"
"feature: dependencies","2018-11-1","31"
"feature: dependencies","2018-12-1","99"
"feature: dependencies","2019-1-1","107"
"feature: dependencies","2019-2-1","65"
"feature: dependencies","2019-3-1","6"
"feature: dependencies","2019-4-1","38"
"feature: dependencies","2019-5-1","19"
"feature: dependencies","2019-6-1","0"
"feature: dependencies","2019-7-1","0"
"feature: dependencies","2019-8-1","0"
"feature: dependencies","2019-9-1","0"
"feature: dependencies","2019-10-1","0"
